,title,year,authors,abstract
380,Cell multiplication.,1993,Tim Hunt and Marc Kirschner,"Europe PMC is an archive of life sciences journal literature.
"
382,The biochemical nature of the cell cycle.,1992,MW Kirschner,"Europe PMC is an archive of life sciences journal literature.
"
383,Autoregulation of tubulin synthesis,1986,Joan M Caron and Marc W Kirschner,"In many mammalian cell types, increases in the level of nonpolymerized tubulin cause an inhibition in tubulin synthesis which is accompanied by a decrease in tubulin mRNA levels. To see whether inhibition is caused by nuclear or cytoplasmic events, two groups have recently examined the ability of enucleated cells to autoregulate tubulin synthesis.1,2 These experiments have demonstrated that transcription, processing, and transport of tubulin mRNAs from the nucleus to the cytoplasm are not major sites of autoregulation. Instead, monomeric tubulin must reduce, either directly or indirectly, the translatability of its own message."
384,Science and the new administration,1993,J Michael Bishop and Marc Kirschner and Harold E Varmus,"The scientific community hopes that the Clinton administration will take actions to support basic research, which is vital for advancements in health care, industry and education. Benefits of biomedical research are discussed, and recommendations for its advancement are provided."
385,In vitro reconstitution of cdc42‐mediated actin assembly using purified components,2006,Hsin‐Yi Henry Ho and Rajat Rohatgi and Andres M Lebensohn and Marc W Kirschner,"In the accompanying chapter, we describe an in vitro system that uses Xenopus egg extracts to study actin assembly induced by phosphatidylinositol (4,5)bisphosphate (PIP2) and Cdc42. Biochemical fractionation and candidate screening experiments conducted in the extract system have identified the Arp2/3 complex, the N‐WASP‐WIP (or N‐WASP‐CR16) complex, and the Cdc42‐binding protein Toca‐1 as important mediators of PIP2‐ and Cdc42‐actin signaling. Toward our ultimate goal of reconstituting an in vitro system that recapitulates the signaling properties observed in vivo, we then developed a purified actin assembly assay system consisting of the regulatory components that we discovered from extracts. In these assays, the stereotypical sigmoidal kinetics of actin polymerization are monitored by pyrene‐actin fluorescence in the presence of defined recombinant or purified proteins, enabling the detailed …"
386,Quantitative measurement of the catastrophe rate of dynamic microtubules,1999,Bin‐Bing Zhou and Marc W Kirschner,"Previous work has shown that catastrophe frequency is the predominant dynamic parameter of microtubules that changes dramatically during the cell cycle. As an alternative to videomicroscopy assays, we have developed a biochemical assay to measure directly the average catastrophe rate of a population of microtubules. In this assay, the growing plus end of the microtubules, polymerized off seeds, are labeled with a brief pulse of α‐32P‐GTP, followed by a cold GTP chase. The rate of loss of 32P label in microtubules measured by this method is equal to the catastrophe frequency at microtubule plus ends measured by videomicroscopy of individual microtubules. Addition of mitotic extract from Xenopus eggs increases the catastrophe rate of purified tubulin by almost 100‐fold, while interphase extract alters the catastrophe rate by about 20‐fold as compared to pure tubulin. Most of the catastrophe‐promoting …"
387,Cytoplasm and cell motility overview.,1989,M Kirschner and K Weber,"It is always difficult to look at recent history and predict the future. In this volume, however, it is unmistakably clear that the future course of cell biology is intimately tied to understanding the structure and organization of the cell, and that much of this understanding will be won on the battlefields of cytoskeletal research. There will be several important theaters of operations and several new technologies to be employed, but the overall goals are still the same as the original ones: the understanding of global features of cell behavior including cell movement, cell division, cell differentiation, and multicellular interactions in tissue formation.The footsoldiers in these campaigns are still the major structural cytoskeletal proteins themselves. Though regulatory molecules and associated factors will modify their activities, many of the properties of the polymers will be determined by the intrinsic properties of the major subunits. It is clear that, unfortunately, we still don't understand clearly what these activities are. In the past few years the intrinsic dynamic properties of these simple structural polymers have been investigated by using new methodologies. The structural basis for dynamic instability and oscillations in microtubules remains an important area of study for both cell morphogenesis and mitosis. Yet, we still lack detailed structures for tubulin and its associated proteins. Intermediate filaments have become more dynamic and responsive and it is becoming clear that their remodelling is under cell cycle control, and subject to phosphorylation reactions that may regulate assembly. The beginnings of an understanding of how their overall morphology is regulated …"
388,Microtubule dynamics and cellular morphogenesis,1984,TJ Mitchison and MW Kirschner,"The problem of understanding morphogenesis on a cellular level is much more complicated than the problem of understanding the self-assembly of crystals, viruses, or even complex oligomeric structures. On a microscopic level, the in-dividual components of the cell such as the membrane or cytoskeletal systems probably assemble by the usual rather restrictive rules of crystallographic sym-metry, relaxed a little by quasi-equivalence (Caspar and Klug 1963). However, on a macroscopic level the assemblage of these structures must be extremely plas-tic. It must, for example, respond quickly to changes in growth conditions or to developmental stimuli. It must also be capable of being remodeled into many forms, representing different cell types and states while utilizing as major struc-tural components the same elements. This problem is well exemplified by micro-tubules, whose surface lattice does not seem to vary from cell to cell (or in gen-eral from organism to organism) but whose organization varies profoundly during the cell cycle of a given cell. The fundamental question peculiar to the macro-scopic organization of the cytoskeleton is, By what means does the cell localize polymerization in certain positions and along certain directions and at the same time prevent random polymerization of cytoskeletal elements?"
389,Mechanism of action of tau protein in microtubule assembly,1975,DW Cleveland and SY Hwo and MD Weingarten and GB Witman and MW Kirschner,
390,Plausibility of life: great leaps of evolution,2005,Marc W Kirschner and John C Gerhart and John Norton,
392,Single-molecule dynamics of Dishevelled at the plasma membrane and wnt pathway activation,2020,Wenzhe Ma and Maorong Chen and Hong Kang and Zachary Steinhart and Stephane Angers and Xi He and Marc W Kirschner,"Dvl (Dishevelled) is one of several essential nonenzymatic components of the Wnt signaling pathway. In most current models, Dvl forms complexes with Wnt ligand receptors, Fzd and LRP5/6 at the plasma membrane, which then recruits the destruction complex, eventually leading to inactivation of β-catenin degradation. Although this model is widespread, direct evidence for the individual steps is lacking. In this study, we tagged mEGFP to C terminus of dishevelled2 gene using CRISPR/Cas9-induced homologous recombination and observed its dynamics directly at the single-molecule level with total internal reflection fluorescence (TIRF) microscopy. We focused on two questions: 1) What is the native size and what are the dynamic features of membrane-bound Dvl complexes during Wnt pathway activation? 2) What controls the behavior of these complexes? We found that membrane-bound Dvl2 is predominantly …"
393,Intracellular signal propagation in a two-dimensional autocatalytic reaction model,2002,F Castiglione and M Bernaschi and S Succi and R Heinrich and MW Kirschner,"We study a simple reaction scheme in a two-dimensional lattice of particles or molecules with a refractory state. We analyze the dynamics of the propagating front as a function of physical-chemical properties of the host medium. The anisotropy of the medium significantly affects the smoothness of the wave front. Similarly, if particles or molecules may diffuse slowly to neighboring sites, then the front wave is more likely to be irregular. Both situations affect the ability of the whole system to relax to the original state, which is a required feature in the biological cells. Attempts to map this simple reaction scheme to reactions involved in the intracellular pathways suggest that, in some cases, signal transduction might take both connotation of a random walk and a propagating wave, depending on the local density of the medium. In particular, a sufficient condition for the appearance of waves in high-density regions of the …"
394,"Physical-properties and cellular localization of tau, a microtubule associated protein which induces assembly of purified tubulin",1977,DW Cleveland and JA Connolly and VI Kalnins and BM Spiegelman and MW Kirschner,
395,MECHANISM OF NUCLEOTIDE ACTION IN MICROTUBULE ASSEMBLY,1976,SM Penningroth and MW Kirschner,
396,Function of GTP in microtubule formation,1975,AH Lockwood and SM Penningroth and MW Kirschner,
397,Cell size sensing in animal cells coordinates anabolic growth rates with cell cycle progression to maintain uniformity of cell size,2017,Miriam B Ginzberg and Nancy Chang and Ran Kafri and Marc W Kirschner,"The uniformity of cell size in healthy tissues suggests that control mechanisms might coordinate cell growth and division. We derived a method to assay whether growth rates of individual cells depend on cell size, by combining time-lapse microscopy and immunofluorescence to monitor how variance in cell size changes as cells grow. This analysis revealed two periods in the cell cycle when cell size variance decreases in a manner incompatible with unregulated growth, suggesting that cells sense their own size and adjust their growth rate to correct aberrations. Monitoring nuclear growth in live cells confirmed that these decreases in variance reflect a process that selectively inhibits the growth of large cells while accelerating growth of small cells. We also detected cell-size-dependent adjustments of G1 length, which further reduce variability. Combining our assays with chemical and genetic perturbations confirmed that cells employ two strategies, adjusting both cell cycle length and growth rate, to maintain the appropriate size."
399,Validation of functional insulin-like growth factor binding protein-3 measurement by a ligand immunoassay.,2010,M Langkamp and K Weber and M Kirschner and L Pridzun and MB Ranke,"BACKGROUND: Proteolysis of Insulin-like Growth Factor Binding Protein (IGFBP)--3 is a well known mechanism regulating IGF-I bioavailability and IGF-independent actions of IGFBP-3 fragments. Measurement of functional IGFBP-3 can be of use in diagnostics of growth failure or renal impairment. We herein characterize the properties of a commercially available immunoassay for the measurement of functional (IGF-I binding) IGFBP-3. METHOD: Fragmentation of IGFBP-3 is analyzed by gel filtration, SDS-PAGE, and western ligand and immunoblotting and compared with subsequent measurement of total and functional IGFBP-3 by ELISA/IFA. Furthermore, assay characteristics such as reproducibility, linearity, and sensitivity are surveyed. RESULTS: Functional IGFBP-3 was reproducibly measured (6.8/5.6% Inter-/Intra assay variance). A broad range of linearity (1: 50-1: 300) and a high sensitivity (0.18 microg/L) allowed reliable measurement of IGF-binding IGFBP-3. Analysis of IGFBP-3 fragments reveals that the assay described only detects intact IGFBP-3. Analysis of 189 serum samples from healthy blood donors showed that on average 84% and 69% of total IGFBP-3 was functional in men and women, respectively (p< 0.01). CONCLUSIONS: Functional IGFBP-3 can be measured reliably by the assay system used. Thus, this assay system is suited for the investigation of the diagnostic value of functional IGFBP-3 in human body fluids."
400,Determination of Proteins and/or Other Molecules Using Mass Spectroscopy,2007,Marc Kirschner and Judith Jebanathirajah and Muhammad Yousaf,"This invention generally relates to the determination of species such as proteins and/or Small molecules on self assembled monolayers using mass spectrometry. In some cases, the proteins and/or small molecules may be arranged on a Substrate in an array, for example, in a microarray. In one set of embodiments, the invention relates to methods for determining proteins and/or Small molecules bound to self assembled monolayers using mass spectroscopy techniques such as MALDI and MALDI TOF techniques. This combi nation allows, for example, the systematic identification of unknown proteins from cell lysates. Identification of novel interactions can be achieved, in some cases, in instances where the binding partner to a particular target species is unknown. In another set of embodiments, the invention relates to methods of attaching a species to a self-assembled monolayer on a Substrate Such that the …"
401,Easy passage: Germline transgenesis in frogs,1999,Kristen L Kroll and Marc W Kirschner,"Amphibians have been a favored model organism for studies of early development for over a century. The African frog Xenopus laevis, the amphibian most widely used today, owes much of its popularity to its robustness and facility of husbandry, the ready availability of oocytes and eggs in large quantities, and the ease with which cell and tissue manipulations can be performed. These features allow many embryological experiments that are difficult or not possible in other model organisms. Compared with other vertebrate embryos, Xenopus embryos are large and accessible for manipulation from fertilization onward, and many of the early patterning processes have proven generalizable to all vertebrates. The great limitation of the frog has been in genetic manipulability. Ectopic expression of injected RNA is very simple and has yielded a wealth of information. However, RNA injections are only practical for global …"
402,"Cells, Embryos and Evolution",1997,M Kirschner and J Gerhart,
403,Aster formation in eggs of,1975,SR Heidemann and MW Kirschner,
404,Noncanonical open reading frames encode functional proteins essential for cancer cell survival,2021,John R Prensner and Oana M Enache and Victor Luria and Karsten Krug and Karl R Clauser and Joshua M Dempster and Amir Karger and Li Wang and Karolina Stumbraite and Vickie M Wang and Ginevra Botta and Nicholas J Lyons and Amy Goodale and Zohra Kalani and Briana Fritchman and Adam Brown and Douglas Alan and Thomas Green and Xiaoping Yang and Jacob D Jaffe and Jennifer A Roth and Federica Piccioni and Marc W Kirschner and Zhe Ji and David E Root and Todd R Golub,"Although genomic analyses predict many noncanonical open reading frames (ORFs) in the human genome, it is unclear whether they encode biologically active proteins. Here we experimentally interrogated 553 candidates selected from noncanonical ORF datasets. Of these, 57 induced viability defects when knocked out in human cancer cell lines. Following ectopic expression, 257 showed evidence of protein expression and 401 induced gene expression changes. Clustered regularly interspaced short palindromic repeat (CRISPR) tiling and start codon mutagenesis indicated that their biological effects required translation as opposed to RNA-mediated effects. We found that one of these ORFs, G029442—renamed glycine-rich extracellular protein-1 (GREP1)—encodes a secreted protein highly expressed in breast cancer, and its knockout in 263 cancer cell lines showed preferential essentiality in breast cancer …"
405,Diagnostic method based on large scale identification of post-translational modification of proteins,2010,Yifat Merbl and Marc W Kirschner,"Methods for the large scale identification of post-translational modification states of proteins and enzyme activities for car rying out post-translational modification reactions involve the analysis of functional extracts from fresh and frozen samples using protein arrays. The methods and kits of the present invention can be used to analyze and characterize compounds for their effects on post-translational modifica tions and their pathways. The methods and kits can also be used to diagnose and characterize a wide variety of diseases and medical conditions, including cancer, neurodegenerative diseases, immune diseases, infectious diseases, genetic dis eases, metabolic conditions, and drug effects using cells or body fluids of a patient."
406,Deuterostome phylogeny reveals monophyletic chordates and the new phylum Xenoturbellida. Nature 444: 8588Bradford MM (1976) A rapid and sensitive method for the quantitation of …,2006,M Kirschner and ES Lander and M Thorndyke and H Nakano and AB Kohn and A Heyland and LL Moroz and RR Copley and MJ Telford,
407,The roles of apc and axin derived from experimental and theoretical analysis of the wnt pathway,2004,Ethan Lee and Adrian Salic and R Kruger and Reinhart Heinrich and Marc W Kirschner,"Table 1. Numeric Values of Input Quantities of the Model for the Reference State The data are grouped into concentrations of pathway components, dissociation constants of protein complexes, concentration ratios, fluxes and flux ratios, and characteristic times of selected processes. Experimental evidence for these data is discussed in the text. From these data, the following rates and rate constants are calculated: ν12= 0.42 nM• min–1 (rate of β-catenin synthesis), ν14= 8.2• 10–5• nM• min–1 (rate of axin synthesis), k4= 0.27 min–1, k5= 0.13 min–1, k6= 9.1• 10–2 nM–1• min–1, k–6= 0.91• nM–1• min–1, k9= 210 min–1, k10= 210 min–1, k11= 0.42 min–1, k13= 2.6• 10–4 min–1, k15= 0.17• min–1. See Table S2, found at http://dx. doi. org/10.1371/journal. pbio. 0000010. t002, for more precise numbers used in the calculations. Bold: Measured values, Italics: Estimated values."
408,Dual inhibition of sister chromatid separation at metaphase,2003,Marc Kirschner and Olaf Stemmann and Hui Zou and Steven Gygi,"The invention provides nucleic acid molecules, designated Separase nucleic acid molecules, which encode Separase, an endopeptidase that modulates Sister chromatid Separation. The invention also provides recombinant expression vectors containing Separase nucleic acid molecules and host cells into which the expression vectors have been introduced. The invention Still further provides Separase proteins, fusion proteins, antigenic peptides and anti-Separase antibodies. The invention also provides methods for the identification of modulators of Separase, methods of modulating Separase, methods of modulating Sister chromatid Separation, and methods for the treatment of disorders related to aberrant"
409,The primary structure of the microtubule-associated protein tau,1988,G Lee and N Cowan and M Kirschner,
410,Difference sedimentation equilibrium technique for measuring small changes in molecular weight. I. Theory and computer simulation,1974,MS Springer and MW Kirschner and HK Schachman,"Ms. Springer,! M. W. Kirschner, § and. K. Schachman* abstract: Measurements of small changes in molecular weight are essential for the analysis of both strongly and weakly self-associating proteins and for the study of the effect of lig-ands on the association-dissociation equilibria. In addition, such measurements provide the basis for interpreting data from difference sedimentation velocity experiments since changes in sedimentation coefficients are due to either alterations in fric-tional coefficients or to shifts in association-dissociation equi-libria involving monomers and oligomers. Since very small changes in molecular weight can be determined only indirectly from separate experiments and conventional methods have lim-ited accuracy, we have developed a difference sedimentation equilibrium technique forthe direct measurement of differ-ences in effective molecular weight (). A theoretical treatment is presented …"
411,Analysis of association-dissociation equilibriums in proteins by difference and differential sedimentation,1973,Geoffrey D Smith and Marc W Kirschner and HK Schachman,"Geoffrey D. Smith, Marc W. Kirschner, and. K. Schachman* abstract: Although the weight average sedimentation co-efficient, S, of an oligomeric protein is affected frequently by the addition of specific ligands, it is not clear generally whether this effect is due to a shift in the association-dissocia-tion equilibrium of the protein or to a conformational change leading to an altered frictional coefficient. This ambiguity can be eliminated, in part, by combining measurements of the change in sedimentationcoefficient, As, at one protein concentration with data for the effect of the ligand on the concentration dependence of the sedimentation coefficient, di/dc. Equations are presented relating As at a single protein concentration to a ligand-promoted shift in the association constant for a monomer-dimer system. Analogous equations are derived relating the association constant (and changes in it) to the observed values of di/dc. Two …"
412,In situ measurement of absolute concentrations by Normalized Raman Imaging,2019,Seungeun Oh and ChangHee Lee and Dan Fu and Wenlong Yang and Ang Li and Chongzhao Ran and Wei Yin and Clifford J Tabin and X Sunney Xie and Marc W Kirschner,"We introduce Normalized Raman Imaging (NoRI), a Stimulated Raman Scattering (SRS) microscopy method that computationally removes the effect of tissue light scattering. NoRI provides high resolution measurements of the absolute concentration of total protein, total lipid and water from live or fixed thick tissue samples with single cell resolution, and can also be applied to other Raman bands. NoRI enables study of the protein, lipid, and water concentration variation associated with development and diseases."
416,Ubiquitin conjugating enzymes,2000,Stefan Jentsch and Marc W Kirschner and Randall W King and P Renee Yew,"The present invention relates to the discovery in eukary otic cells, particularly human cells and certain yeast cells, of a novel ubiquitin conjugating enzyme (hereinafter “UBC9”). In human cells, the enzyme likely functions to mediate"
417,Comment on “epigenetic inheritance in evolution”,1998,Marc Kirschner and J Gerhart,"In the most widely accepted model for evolution the environment (broadly construed) provides a selection on variable phenotypes, which themselves are products of genetic and non-genetic factors. Only the genetic components are inherited. The genes though responsive to the mutagenic potential of the environment cannot respond directly to the characteristics of the selective environment, except perhaps by changing the rate of random variation. What Jablonka and Lamb ask is whether our new knowledge of stable epigenetic inheritance, both within cell lineages and in transgenerational inheritance, fundamentally changes our understanding of evolutionary mechanisms. Their first argument is that epigenetic mechanisms have played an important role in metazoan evolution. This is both undoubtedly correct and in a sense unremarkable. Since the size of genomes and most likely the number of genes has …"
419,"Schachman,. K.(1971b)",1900,MW Kirschner,
420,YAP regulates cell size and growth dynamics via non-cell autonomous mediators,2020,Douaa Mugahid and Marian Kalocsay and Xili Liu and Jonathan Scott Gruver and Leonid Peshkin and Marc W Kirschner,"The Hippo pathway regulates organ size, regeneration, and cell growth by controlling the stability of the transcription factor, YAP (Yorkie in Drosophila). When there is tissue damage, YAP is activated allowing the restoration of homeostatic tissue size. The exact signals by which YAP is activated are still not fully understood, but its activation is known to affect both cell size and cell number. Here we used cultured cells to examine the coordinated regulation of cell size and number under the control of YAP. Our experiments in isogenic HEK293 cells reveal that YAP can affect cell size and number by independent circuits. Some of these effects are cell autonomous, such as proliferation, while others are mediated by secreted signals. In particular CYR61, a known secreted YAP target, is a non-cell autonomous mediator of cell survival, while another unidentified secreted factor controls cell size."
421,Post‐Translational Modification Profiling—a High‐Content Assay for Identifying Protein Modifications in Mammalian Cellular Systems,2014,Yifat Merbl and Marc W Kirschner,"Protein microarrays are extremely useful for detecting substrates of phosphorylation, substrates of ubiquitylation, or other post‐translational modifications. The ability to screen binding interactions as well as post‐translational modifications of thousands of proteins at once has improved our ability to identify their targets. Utilizing such systems in combination with functional mammalian cell extracts that preserve enzymatic activity offers advantages in identifying semi‐quantitative changes of these interactions in the context of specific cellular conditions. This unit provides a detailed procedure for setting up an extract‐based activity assay for high content detection of protein post‐translation modifications. It also provides basic guidelines for data analysis. Curr. Protoc. Protein Sci. 77:27.8.1‐27.8.13 © 2014 by John Wiley & Sons, Inc."
423,Method for cloning secreted proteins,2000,Marc W Kirschner and Noriyuki Kinoshita,"The invention provides a method for isolating nucleic acids encoding proteins comprising a signal peptide, eg, a Secreted protein. The method of the invention comprises isolating an RNA molecule associated with an endoplasmic reticulumn membrane preparation under conditions wherein the RNA is at least partially translated. The invention also provides a library of nucleic acids encoding proteins com prising a Signal peptide, individual nucleic acids isolated according to the method of the invention, peptides encoded thereby, pharmaceutical compositions comprising Such and kits for performing the method of the invention."
424,YAP independently regulates cell size and population growth dynamics via non-cell autonomous mediators,2018,Douaa Mugahid and Marian Kalocsay and Scott Gruver and Leonid Peshkin and Marc W Kirschner,"The Hippo pathway, in which changes at the cell surface and in the extracellular environment control the activity of a downstream transcription factor, known as YAP in mammalian cells and Yorkie in Drosophila, has recently taken center-stage as perhaps the most important pathway in metazoans for controlling organ size. In intact tissues YAP activity is inhibited and the organ does not overgrow. When the organ is damaged, YAP is active and necessary for growth and regeneration to occur. The exact process by which YAP drives organ and tissue growth is not fully understood, although it is known to affect both cell size and cell number. Since cell size and proliferation are highly interdependent in many cultured cell studies, we investigated the role of YAP in the simultaneous regulation of both cell size and number. Our experiments reveal that YAP controls both cell size and cell proliferation by independent circuits, and that it affects each process non-cell autonomously via extracellular mediators. We identify that CYR61, a known secreted YAP target, is the major regulator of the non-cell autonomous increase in cell number, but does not affect cell size. The molecular identity of the non-cell autonomously acting mediator of cell size is yet to be identified."
425,The road to facilitated variation,2015,Marc W Kirschner,"Knowledge of how the phenotype is constructed is crucial to explain the pace and direction of evolutionary change. The theory of facilitated phenotypic variation emerged out of considerations from new empirical findings regarding the deeply conserved core mechanisms studied in biochemistry, cell biology, and developmental biology. Although others have raised similar questions about the creation of the phenotypic landscape on which selection acts, the discovery of the molecular details about the genotype-phenotype relationship, and, in particular, the means by which the genotype is converted to the phenotype, provided the materials for a perspective on evolution that diverges significantly from the Modern Synthesis, which assumed the sufficiency of population genetics to explain all of evolution. Physiological adaptability manifested in several distinctive properties of conserved cellular processes …"
426,System and method for monitoring cell growth,2010,Scott R Manalis and Andrea K Bryan and Yao-chung Weng and Thomas Burg and William H Grover and Marc W Kirschner and Paul Jorgensen and Michel Godin,"Microsystem for monitoring cell growth. A microfluidic structure is designed to allow cells to circulate therethrough and the microfluidic structure includes modules to monitor mass, mass density and fluorescence of the cell."
428,Cyclin-selective ubiquitin carrier polypeptides,2001,Joan V Ruderman and Avram Hershko and Marc W Kirschner and Fiona Townsley and Alexander Aristarkov and Esther Eytan and Hongtao Yu,"Disclosed are novel human and clam ubiquitin carrier polypeptides involved in the ubiquitination of cyclins A and/or B. Also disclosed are inhibitors of Such polypeptides, nucleic acids encoding Such polypeptides and inhibitors, antibodies Specific for Such polypeptides, and methods of their use."
429,Isolated nucleic acid encoding ligands for FGFR,1998,Marc W Kirschner and Noriyuki Kinoshita,"Disclosed herein are compositions and methods which are useful in the identification and isolation of components involved in transmembrane receptor-mediated signaling. Such components include the receptors themselves (eg, tyrosine kinase receptors, cytokine receptors and tyrosine phosphatase receptors), as well as ligands which bind the receptors and modulators of the downstream intracellular catalytic event which characterizes receptor-mediated signalling. Two novel ligands for the FGF receptor and the nucleotide sequences encoding them are also described."
430,Corequirement of specific phosphoinositides and small GTP-binding protein Cdc42 in inducing actin assembly in Xenopus egg extracts,1998,Lewis C Cantley Le Ma and Paul A Janmey and Marc W Kirschner,"Both phosphoinositides and small GTP-binding proteins of the Rho family have been postulated to regulate actin assembly in cells. We have reconstituted actin assembly in response to these signals in Xenopus extracts and examined the relationship of these pathways. We have found that GTPγS stimulates actin assembly in the presence of endogenous membrane vesicles in low speed extracts. These membrane vesicles are required, but can be replaced by lipid vesicles prepared from purified phospholipids containing phosphoinositides. Vesicles containing phosphatidylinositol (4, 5) bisphosphate or phosphatidylinositol (3, 4, 5) trisphosphate can induce actin assembly even in the absence of GTPγS. RhoGDI, a guanine-nucleotide dissociation inhibitor for the Rho family, inhibits phosphoinositide-induced actin assembly, suggesting the involvement of the Rho family small G proteins. Using various dominant …"
431,Basic fibroblast growth factor and its function in early Xenopus embryo,1990,David Kimelman and Marc Kirschner,"Classical experiments have demonstrated that the mesoderm is formed and patterned by signals originating in the vegetal region. We find that mesoderm induction, as measured by the expression of a muscle specific gene, can be caused to a limited extent by incubation with bovine basic FGF. The expression of this gene can be synergistically enhanced by another mammalian growth factor, TGF-B1."
432,Primary structure of tau proteins,1986,G Lee and M Kirschner,
433,TRANSLATIONAL REGULATION OF NUCLEAR LAMIN PROTEINS DURING EARLY DEVELOPMENT IN XENOPUS-LAEVIS,1986,SL Wolin and MW Kirschner,
434,PERSISTANT ANTI-KINETOCHORE (CENTROMERE) AND ANTI-CENTRIOLE ANTIBODIES IN SCLERODERMA AND RAYNAUDS DISEASE,1982,D Tuffanelli and F McKeon and M Kirschner,
435,Colchicine binding to tubulin oligomers,1977,SM Penningroth and MW Kirschner,
437,An optimal set of inhibitors for Reverse Engineering via Kinase Regularization.,2020,Scott Rata and Jonathan Scott Gruver and Natalia Trikoz and Alexander Lukyanov and Janelle Vultaggio and Michele Ceribelli and Craig Thomas and Taran Singh Gujral and Marc W Kirschner and Leonid Peshkin,"We present a comprehensive resource of 257 kinase inhibitor profiles against 365 human protein kinases using gold-standard, kinase activity assays. We show the utility of this dataset with an improved version of Kinome Regularization (KiR) to deconvolve protein kinases involved in a cellular phenotype. We assayed protein kinase inhibitors against more than 70 % of the human protein kinome and chose an optimal subset of 58 inhibitors to assay at ten doses across four orders of magnitude. We demonstrate KiR utility using a quantitative cell migration assay and updated machine learning methods. This approach can be widely applied to biological problems for which a quantitative phenotype can be measured and which can be perturbed with our kinase inhibitors."
438,Optimization of quantitative phase microscopy reveals new features of the growth rate of adherent mammalian cells,2019,Xili Liu and Seungeun Oh and Marc W Kirschner,"The regulation of growth is fundamental to cell size control. Lack of sufficient accuracy in the measurement of the growth rate of adherent cells through the cell cycle has thwarted the understanding of how such cell populations maintain a stable size distribution. The accuracy of Quantitative Phase Microscopy (QPM) is just shy of the accuracy needed to resolve the principle features of mammalian cell growth and perhaps to reveal new ones. Based on our analysis of the source of errors in QPM we both improved image processing algorithms and automated cell tracking software, making it suitable for longitudinal and large scale applications. Using these tools we revealed a remarkable a series of episodes of the convergence of cell growth rate, which may play a large role in the control of cell size variability."
440,Cell biology as a world view,2010,Marc Kirschner,"Cell biology, stated simply, is for me the most satisfactory level from which to understand biology. This view is not universally held. Some people may prefer the perspective of genes, molecular structure, physiology, or cladistics. But when I start from the perspective of cellular function, I feel I have the best panorama of life. I appreciate the molecular underpinnings, the process of embryonic development, the diverse uses of transcription and metabolism, the anatomical changes in ontogeny and phylogeny, physiological adaptability, and homeostasis. Even evolution, perhaps the most general theory in all of biology, seems less formal and pedantic when I can appreciate what it is about cells that allows for so much selectable variation. Sometimes I think we should replace Dobzhansky’s famous dictum,“Nothing in biology makes sense except in the light of evolution”(Dobzhansky, 1973) with “Nothing in evolution makes …"
441,Identification of antimicrobial agents,2003,Debabrata Raychaudhuri and Danielle Margalit and Marc Kirschner,"0.003 Anti-microbial agents, such as antibiotics, have been effective tools in the treatment of infectious diseases during the last half century. The Systematic Screening of natural product libraries from Soil Samples or marine envi ronments has generated most of the classes of anti-bacterial agents used today (eg, B-lactams, aminoglycosides, mac rollides, and Sulfonamides, to name a few). Additionally, these initial leads have, in many cases, been Subsequently modified to produce Second and third generation therapeu tics with one or more of broadened anti-microbial activity, enhanced oral bioavailability, and improved toxicological and pharmacokinetic properties.0004. From the time that antibiotic therapy was first developed to the late 1980s, there was almost complete control over bacterial infections in developed countries. However, the emergence of resistant bacteria, especially during the late 1980s and early …"
442,Biochemical purification of factors that mediate Cdc42-induced actin polymerization,1999,L Ma and R Rohatgi and MW Kirschner,
443,N-WASP activates the Arp2/3 complex and links Cdc42 and phosphoinositide signals to actin assembly.,1999,R Rohatgi and L Ma and H Miki and M Lopez and T Kirchhausen and T Takenawa and MW Kirschner,
445,Temporal and spatial expression of fibronectin in early Xenopus development,1982,G Lee and R HYNES and M Kirschner,
446,Examination of the Genes Coding for α- and β-Tubulin,1981,DW Cleveland and MW Kirschner,"Despite rapid progress in recent years, large gaps remain in our understanding of the in vitro biochemistry of tubulin, and even larger gaps arise when we try to relate the known in vitro properties to regulation in vivo. A brief examination of the recent history of microtubules reveals an ever increasing complexity of each component in the system. Lurking behind the question of what regulates tubulin assembly in the cell are still the basic questions of how many gene products there are for the tubulins, whether different forms are significantly distinct in their functional properties, and whether there is selective gene expression. There is already evidence for widespread microheterogeneity in tubulin based on analysis of 2-D gels and additionally on some preliminary genetic data (Kemphues et al. 1979). Since with the exception of the genetic evidence such heterogeneity may be post-translational or even artifactual …"
447,DETERMINATION OF DORSO-VENTRAL POLARITY IN THE ANURAN EGG-REVERSAL EXPERIMENTS IN XENOPUS-LAEVIS,1979,GA Ubbels and J Gerhart and M Kirschner and K Hara,
448,Computationally enhanced quantitative phase microscopy reveals autonomous oscillations in mammalian cell growth,2020,Xili Liu and Seungeun Oh and Leonid Peshkin and Marc W Kirschner,"The fine balance of growth and division is a fundamental property of the physiology of cells, and one of the least understood. Its study has been thwarted by difficulties in the accurate measurement of cell size and the even greater challenges of measuring growth of a single cell over time. We address these limitations by demonstrating a computationally enhanced methodology for quantitative phase microscopy for adherent cells, using improved image processing algorithms and automated cell-tracking software. Accuracy has been improved more than twofold and this improvement is sufficient to establish the dynamics of cell growth and adherence to simple growth laws. It is also sufficient to reveal unknown features of cell growth, previously unmeasurable. With these methodological and analytical improvements, in several cell lines we document a remarkable oscillation in growth rate, occurring throughout the cell …"
